    time     gap  src>dst   cmd   reg   len  ok
   2.214    0.0ms  21>20     65    00    5    ok
   2.267  102.6ms  21>20     64    00    7    ok
   2.267  102.6ms  20>21     64    00    6    ok
   2.267   52.4ms  21>20     65    00    5    ok
   2.318   51.3ms  21>20     65    00    5    ok
   2.318    0.1ms  21>20     65    00    5    ok
   2.318    0.0ms  21>20     65    00    5    ok
   2.372  105.2ms  21>20     64    00    7    ok
   2.372  105.2ms  20>21     64    00    6    ok
   2.372   53.7ms  21>20     65    00    5    ok
   2.372    0.0ms  21>20     65    00    5    ok
   2.423   51.6ms  21>20     65    00    5    ok
   2.423    0.0ms  21>20     65    00    5    ok
   2.474  102.2ms  21>20     64    00    7    ok
   2.474  102.2ms  20>21     64    00    6    ok
   2.474   50.5ms  21>20     65    00    5    ok
   2.474    0.0ms  21>20     65    00    5    ok
   2.527   53.1ms  21>20     65    00    5    ok
   2.527    0.0ms  21>20     65    00    5    ok
   2.579  104.6ms  21>20     64    00    7    ok
   2.579  104.6ms  20>21     64    00    6    ok
   2.579   51.4ms  21>20     65    00    5    ok
   2.579    0.0ms  21>20     65    00    5    ok
   2.631   52.8ms  21>20     65    00    5    ok
   2.631    0.0ms  21>20     65    00    5    ok
   2.684  105.3ms  21>20     64    00    7    ok
   2.684  105.3ms  20>21     64    00    6    ok
   2.684   52.4ms  21>20     65    00    5    ok
   2.684    0.0ms  21>20     65    00    5    ok
   2.734   50.4ms  21>20     65    00    5    ok
   2.734    0.0ms  21>20     65    00    5    ok
   2.734   50.6ms  21>20     64    00    7    ok
   2.788  103.7ms  20>21     64    00    6    ok
   2.788   53.2ms  21>20     65    00    5    ok
   2.788    0.0ms  21>20     65    00    5    ok
   2.839   51.4ms  21>20     65    00    5    ok
   2.839    0.0ms  21>20     65    00    5    ok
   2.839  104.6ms  21>20     64    00    7    ok
   2.892  104.4ms  20>21     64    00    6    ok
   2.892   53.0ms  21>20     65    00    5    ok
   2.892    0.0ms  21>20     65    00    5    ok
   2.943   50.8ms  21>20     65    00    5    ok
   2.943    0.0ms  21>20     65    00    5    ok
   2.943  103.9ms  21>20     64    00    7    ok
   2.943   51.0ms  20>21     64    00    6    ok
   2.993   50.2ms  21>20     65    00    5    ok
   2.993    0.0ms  21>20     65    00    5    ok
   2.993    0.0ms  21>20     65    00    5    ok
   3.044   51.3ms  21>20     65    00    5    ok
   3.045  101.6ms  21>20     64    00    7    ok
   3.045  101.6ms  20>21     64    00    6    ok
   3.095   50.4ms  21>20     65    00    5    ok
   3.095    0.0ms  21>20     65    00    5    ok
   3.095    0.0ms  21>20     65    00    5    ok
   3.146   50.9ms  21>20     65    00    5    ok
   3.146  101.3ms  21>20     64    00    7    ok
   3.146  101.3ms  20>21     64    00    6    ok
   3.197   50.9ms  21>20     65    00    5    ok
   3.197    0.0ms  21>20     65    00    5    ok
   3.197    0.0ms  21>20     65    00    5    ok
   3.248   51.3ms  21>20     65    00    5    ok
   3.248  102.2ms  21>20     64    00    7    ok
   3.248  102.2ms  20>21     64    00    6    ok
   3.299   50.9ms  21>20     65    00    5    ok
   3.299    0.0ms  21>20     65    00    5    ok
   3.299    0.0ms  21>20     65    00    5    ok
   3.350   51.1ms  21>20     65    00    5    ok
   3.350  102.0ms  21>20     64    00    7    ok
   3.350  102.0ms  20>21     64    00    6    ok
   3.402   51.5ms  21>20     65    00    5    ok
   3.402    0.0ms  21>20     65    00    5    ok
   3.402    0.0ms  21>20     65    00    5    ok
   3.453   51.5ms  21>20     65    00    5    ok
   3.453  103.1ms  21>20     64    00    7    ok
   3.453  103.1ms  20>21     64    00    6    ok
   3.453    0.1ms  21>20     65    00    5    ok
   3.506   52.6ms  21>20     65    00    5    ok
   3.506    0.0ms  21>20     65    00    5    ok
   3.557   50.8ms  21>20     65    00    5    ok
   3.557  103.5ms  21>20     64    00    7    ok
   3.557  103.5ms  20>21     64    00    6    ok
   3.557    0.1ms  21>20     65    00    5    ok
   3.610   53.1ms  21>20     65    00    5    ok
