    time     gap  src>dst   cmd   reg   len  ok
   0.052    0.0ms  21>20     64    00    7    ok
   0.052    0.0ms  20>21     64    00    6    ok
   0.052    0.0ms  21>20     65    00    5    ok
   0.052    0.0ms  21>20     65    00    5    ok
   0.104   52.8ms  21>20     65    00    5    ok
   0.104    0.0ms  21>20     65    00    5    ok
   0.104   52.9ms  21>20     64    00    7    ok
   0.156  104.1ms  20>21     64    00    6    ok
   0.156   51.2ms  21>20     65    00    5    ok
   0.156    0.0ms  21>20     65    00    5    ok
   0.206   50.1ms  21>20     65    00    5    ok
   0.206    0.1ms  21>20     65    00    5    ok
   0.206  101.4ms  21>20     64    00    7    ok
   0.259  103.1ms  20>21     64    00    6    ok
   0.259   52.9ms  21>20     65    00    5    ok
   0.259    0.0ms  21>20     65    00    5    ok
   0.309   50.2ms  21>20     65    00    5    ok
   0.309    0.0ms  21>20     65    00    5    ok
   0.309  103.2ms  21>20     64    00    7    ok
   0.362  103.6ms  20>21     64    00    6    ok
   0.362   53.4ms  21>20     65    00    5    ok
   0.362    0.0ms  21>20     65    00    5    ok
   0.413   50.6ms  21>20     65    00    5    ok
   0.413    0.0ms  21>20     65    00    5    ok
   0.413  104.0ms  21>20     64    00    7    ok
   0.413   50.7ms  20>21     64    00    6    ok
   0.465   51.9ms  21>20     65    00    5    ok
   0.465    0.0ms  21>20     65    00    5    ok
   0.465    0.0ms  21>20     65    00    5    ok
   0.515   50.4ms  21>20     65    00    5    ok
   0.515  102.4ms  21>20     64    00    7    ok
   0.566  152.6ms  20>21     64    00    6    ok
   0.566   50.3ms  21>20     65    00    5    ok
   0.566    0.0ms  21>20     65    00    5    ok
   0.566    0.0ms  21>20     65    00    5    ok
   0.616   50.4ms  21>20     65    00    5    ok
   0.616  100.7ms  21>20     64    00    7    ok
   0.616   50.5ms  20>21     64    00    6    ok
   0.666   50.3ms  21>20     65    00    5    ok
   0.666    0.0ms  21>20     65    00    5    ok
   0.666    0.0ms  21>20     65    00    5    ok
   0.717   50.7ms  21>20     65    00    5    ok
   0.717  101.0ms  21>20     64    00    7    ok
   0.717  101.0ms  20>21     64    00    6    ok
   0.768   50.5ms  21>20     65    00    5    ok
   0.768    0.0ms  21>20     65    00    5    ok
   0.768    0.0ms  21>20     65    00    5    ok
   0.819   51.7ms  21>20     65    00    5    ok
   0.819  102.3ms  21>20     64    00    7    ok
   0.819  102.3ms  20>21     64    00    6    ok
   0.870   51.1ms  21>20     65    00    5    ok
   0.871    0.0ms  21>20     65    00    5    ok
   0.871    0.0ms  21>20     65    00    5    ok
   0.922   51.8ms  21>20     65    00    5    ok
   0.922  102.9ms  21>20     64    00    7    ok
   0.922  102.9ms  20>21     64    00    6    ok
   0.974   51.7ms  21>20     65    00    5    ok
   0.974    0.1ms  21>20     65    00    5    ok
   0.974    0.0ms  21>20     65    00    5    ok
   1.026   51.9ms  21>20     65    00    5    ok
   1.026  103.7ms  21>20     64    00    7    ok
   1.026  103.7ms  20>21     64    00    6    ok
   1.026    0.1ms  21>20     65    00    5    ok
   1.077   50.7ms  21>20     65    00    5    ok
   1.077    0.1ms  21>20     65    00    5    ok
   1.127   50.2ms  21>20     65    00    5    ok
   1.127  101.0ms  21>20     64    00    7    ok
   1.127  101.0ms  20>21     64    00    6    ok
   1.127    0.1ms  21>20     65    00    5    ok
   1.180   52.7ms  21>20     65    00    5    ok
   1.180    0.0ms  21>20     65    00    5    ok
   1.231   51.0ms  21>20     65    00    5    ok
   1.231  103.8ms  21>20     64    00    7    ok
   1.231  103.9ms  20>21     64    00    6    ok
   1.231    0.1ms  21>20     65    00    5    ok
   1.283   52.3ms  21>20     65    00    5    ok
   1.283    0.0ms  21>20     65    00    5    ok
   1.335   51.8ms  21>20     65    00    5    ok
   1.335  104.2ms  21>20     64    00    7    ok
   1.335  104.2ms  20>21     64    00    6    ok
   1.335    0.1ms  21>20     65    00    5    ok
   1.387   51.5ms  21>20     65    00    5    ok
   1.387    0.0ms  21>20     65    00    5    ok
   1.387    0.0ms  21>20     65    00    5    ok
