    time     gap  src>dst   cmd   reg   len  ok
   2.262   51.3ms  21>20     65    00    5    ok
   2.263  103.7ms  21>20     64    00    7    ok
   2.263  103.7ms  20>21     64    00    6    ok
   2.263    0.1ms  21>20     65    00    5    ok
   2.316   53.6ms  21>20     65    00    5    ok
   2.316    0.0ms  21>20     65    00    5    ok
   2.316    0.0ms  21>20     65    00    5    ok
   2.369  106.2ms  21>20     64    00    7    ok
   2.369  106.2ms  20>21     64    00    6    ok
   2.369   52.5ms  21>20     65    00    5    ok
   2.419   50.7ms  21>20     65    00    5    ok
   2.420    0.1ms  21>20     65    00    5    ok
   2.420    0.0ms  21>20     65    00    5    ok
   2.472  103.3ms  21>20     64    00    7    ok
   2.472  103.3ms  20>21     64    00    6    ok
   2.472   52.6ms  21>20     65    00    5    ok
   2.524   51.5ms  21>20     65    00    5    ok
   2.524    0.0ms  21>20     65    00    5    ok
   2.524    0.0ms  21>20     65    00    5    ok
   2.577  104.6ms  21>20     64    00    7    ok
   2.577  104.7ms  20>21     64    00    6    ok
   2.577   53.1ms  21>20     65    00    5    ok
   2.629   52.7ms  21>20     65    00    5    ok
   2.630    0.1ms  21>20     65    00    5    ok
   2.630    0.0ms  21>20     65    00    5    ok
   2.680  103.3ms  21>20     64    00    7    ok
   2.680  103.3ms  20>21     64    00    6    ok
   2.680   50.5ms  21>20     65    00    5    ok
   2.680    0.0ms  21>20     65    00    5    ok
   2.731   50.6ms  21>20     65    00    5    ok
   2.731    0.0ms  21>20     65    00    5    ok
   2.782  101.6ms  21>20     64    00    7    ok
   2.782  101.6ms  20>21     64    00    6    ok
   2.782   51.0ms  21>20     65    00    5    ok
   2.782    0.0ms  21>20     65    00    5    ok
   2.835   53.5ms  21>20     65    00    5    ok
   2.835    0.0ms  21>20     65    00    5    ok
   2.887  105.8ms  21>20     64    00    7    ok
   2.887  105.8ms  20>21     64    00    6    ok
   2.887   52.2ms  21>20     65    00    5    ok
   2.887    0.0ms  21>20     65    00    5    ok
   2.937   50.1ms  21>20     65    00    5    ok
   2.938    0.0ms  21>20     65    00    5    ok
   2.938   50.2ms  21>20     64    00    7    ok
   2.990  102.6ms  20>21     64    00    6    ok
   2.990   52.5ms  21>20     65    00    5    ok
   3.041   50.6ms  21>20     65    00    5    ok
   3.041    0.1ms  21>20     65    00    5    ok
   3.041  103.2ms  21>20     64    00    7    ok
   3.093  103.0ms  20>21     64    00    6    ok
   3.093   52.3ms  21>20     65    00    5    ok
   3.093    0.0ms  21>20     65    00    5    ok
   3.144   50.9ms  21>20     65    00    5    ok
