    time     gap  src>dst   cmd   reg   len  ok
   2.263  103.3ms  21>20     64    00    7    ok
   2.263  103.3ms  20>21     64    00    6    ok
   2.263   50.6ms  21>20     65    00    5    ok
   2.263    0.0ms  21>20     65    00    5    ok
   2.316   52.9ms  21>20     65    00    5    ok
   2.316    0.1ms  21>20     65    00    5    ok
   2.367  104.4ms  21>20     64    00    7    ok
   2.368  104.4ms  20>21     64    00    6    ok
   2.368   51.5ms  21>20     65    00    5    ok
   2.368    0.0ms  21>20     65    00    5    ok
   2.419   51.0ms  21>20     65    00    5    ok
   2.419    0.0ms  21>20     65    00    5    ok
   2.471  103.4ms  21>20     64    00    7    ok
   2.471  103.4ms  20>21     64    00    6    ok
   2.471   52.3ms  21>20     65    00    5    ok
   2.471    0.0ms  21>20     65    00    5    ok
   2.521   50.2ms  21>20     65    00    5    ok
   2.521    0.0ms  21>20     65    00    5    ok
   2.521   50.4ms  21>20     64    00    7    ok
   2.574  102.6ms  20>21     64    00    6    ok
   2.574   52.4ms  21>20     65    00    5    ok
   2.574    0.0ms  21>20     65    00    5    ok
   2.625   50.9ms  21>20     65    00    5    ok
   2.625    0.0ms  21>20     65    00    5    ok
   2.625  103.4ms  21>20     64    00    7    ok
   2.678  104.6ms  20>21     64    00    6    ok
   2.678   53.6ms  21>20     65    00    5    ok
   2.678    0.0ms  21>20     65    00    5    ok
   2.729   51.0ms  21>20     65    00    5    ok
   2.729    0.1ms  21>20     65    00    5    ok
   2.729  104.6ms  21>20     64    00    7    ok
   2.729   51.1ms  20>21     64    00    6    ok
   2.780   51.2ms  21>20     65    00    5    ok
   2.780    0.0ms  21>20     65    00    5    ok
   2.780    0.0ms  21>20     65    00    5    ok
   2.832   51.1ms  21>20     65    00    5    ok
   2.832  102.3ms  21>20     64    00    7    ok
   2.832  102.4ms  20>21     64    00    6    ok
   2.882   50.4ms  21>20     65    00    5    ok
   2.882    0.0ms  21>20     65    00    5    ok
   2.882    0.0ms  21>20     65    00    5    ok
   2.933   51.4ms  21>20     65    00    5    ok
   2.933  101.9ms  21>20     64    00    7    ok
   2.933  101.9ms  20>21     64    00    6    ok
   2.984   50.8ms  21>20     65    00    5    ok
   2.984    0.0ms  21>20     65    00    5    ok
   2.984    0.0ms  21>20     65    00    5    ok
   3.042   57.6ms  21>20     65    00    5    ok
   3.042  108.4ms  21>20     64    00    7    ok
   3.042  108.4ms  20>21     64    00    6    ok
   3.042    0.0ms  21>20     65    00    5    ok
   3.093   50.9ms  21>20     65    00    5    ok
   3.093    0.0ms  21>20     65    00    5    ok
   3.143   50.2ms  21>20     65    00    5    ok
   3.143  101.2ms  21>20     64    00    7    ok
   3.143  101.2ms  20>21     64    00    6    ok
   3.143    0.0ms  21>20     65    00    5    ok
   3.196   53.1ms  21>20     65    00    5    ok
   3.196    0.0ms  21>20     65    00    5    ok
   3.248   51.4ms  21>20     65    00    5    ok
   3.248  104.6ms  21>20     64    00    7    ok
   3.248  104.6ms  20>21     64    00    6    ok
   3.248    0.0ms  21>20     65    00    5    ok
   3.301   53.3ms  21>20     65    00    5    ok
   3.301    0.0ms  21>20     65    00    5    ok
   3.352   50.6ms  21>20     65    00    5    ok
   3.352  104.0ms  21>20     64    00    7    ok
   3.352  104.0ms  20>21     64    00    6    ok
   3.352    0.1ms  21>20     65    00    5    ok
   3.402   50.3ms  21>20     65    00    5    ok
   3.402    0.0ms  21>20     65    00    5    ok
   3.402    0.0ms  21>20     65    00    5    ok
   3.455  103.1ms  21>20     64    00    7    ok
   3.455  103.1ms  20>21     64    00    6    ok
   3.455   52.8ms  21>20     65    00    5    ok
   3.506   50.9ms  21>20     65    00    5    ok
   3.506    0.0ms  21>20     65    00    5    ok
   3.506    0.0ms  21>20     65    00    5    ok
   3.558  103.6ms  21>20     64    00    7    ok
   3.558  103.7ms  20>21     64    00    6    ok
   3.558   52.8ms  21>20     65    00    5    ok
   3.609   50.5ms  21>20     65    00    5    ok
   3.609    0.1ms  21>20     65    00    5    ok
   3.609    0.0ms  21>20     65    00    5    ok
   3.662  103.4ms  21>20     64    00    7    ok
   3.662  103.4ms  20>21     64    00    6    ok
   3.662   52.8ms  21>20     65    00    5    ok
   3.662    0.0ms  21>20     65    00    5    ok
   3.713   51.1ms  21>20     65    00    5    ok
   3.713    0.0ms  21>20     65    00    5    ok
   3.763  101.5ms  21>20     64    00    7    ok
   3.763  101.5ms  20>21     64    00    6    ok
   3.763   50.4ms  21>20     65    00    5    ok
   3.763    0.0ms  21>20     65    00    5    ok
   3.814   50.2ms  21>20     65    00    5    ok
   3.814    0.0ms  21>20     65    00    5    ok
   3.864  100.4ms  21>20     64    00    7    ok
   3.864  100.4ms  20>21     64    00    6    ok
   3.864   50.1ms  21>20     65    00    5    ok
   3.864    0.0ms  21>20     65    00    5    ok
   3.917   52.9ms  21>20     65    00    5    ok
   3.917    0.0ms  21>20     65    00    5    ok
   3.968  103.8ms  21>20     64    00    7    ok
   3.968  103.9ms  20>21     64    00    6    ok
   3.968   51.0ms  21>20     65    00    5    ok
   3.968    0.0ms  21>20     65    00    5    ok
   4.021   53.8ms  21>20     65    00    5    ok
   4.072   50.9ms  21>20     65    04    5    BAD
   4.072  104.8ms  20>21     64    00    6    ok
   4.072    0.1ms  21>20     65    00    5    ok
   4.072    0.0ms  21>20     65    00    5    ok
   4.123   50.3ms  21>20     65    00    5    ok
   4.123    0.0ms  21>20     65    00    5    ok
   4.123  155.2ms  21>20     64    00    7    ok
   4.175  103.1ms  20>21     64    00    6    ok
   4.175   52.7ms  21>20     65    00    5    ok
   4.175    0.0ms  21>20     65    00    5    ok
   4.226   50.6ms  21>20     65    00    5    ok
   4.226    0.0ms  21>20     65    00    5    ok
   4.226  103.4ms  21>20     64    00    7    ok
   4.226   50.7ms  20>21     64    00    6    ok
   4.278   52.0ms  21>20     65    00    5    ok
   4.278    0.1ms  21>20     65    00    5    ok
   4.329   50.9ms  21>20     65    00    5    ok
   4.329    0.0ms  21>20     65    00    5    ok
   4.329  103.0ms  21>20     64    00    7    ok
   4.329  103.0ms  20>21     64    00    6    ok
   4.379   50.2ms  21>20     65    00    5    ok
   4.379    0.0ms  21>20     65    00    5    ok
   4.431   51.7ms  21>20     65    00    5    ok
   4.431    0.0ms  21>20     65    00    5    ok
   4.431  102.0ms  21>20     64    00    7    ok
   4.483  153.8ms  20>21     64    00    6    ok
   4.483   51.9ms  21>20     65    00    5    ok
   4.483    0.0ms  21>20     65    00    5    ok
   4.483    0.0ms  21>20     65    00    5    ok
   4.535   51.6ms  21>20     65    00    5    ok
   4.535  103.5ms  21>20     64    00    7    ok
   4.535   51.7ms  20>21     64    00    6    ok
   4.585   50.6ms  21>20     65    00    5    ok
   4.585    0.0ms  21>20     65    00    5    ok
   4.585    0.0ms  21>20     65    00    5    ok
   4.637   51.6ms  21>20     65    00    5    ok
   4.637  102.3ms  21>20     64    00    7    ok
   4.637  102.2ms  20>21     64    00    6    ok
   4.688   51.0ms  21>20     65    00    5    ok
   4.688    0.0ms  21>20     65    00    5    ok
   4.688    0.0ms  21>20     65    00    5    ok
   4.739   51.2ms  21>20     65    00    5    ok
   4.739  102.3ms  21>20     64    00    7    ok
   4.739  102.3ms  20>21     64    00    6    ok
   4.790   50.7ms  21>20     65    00    5    ok
   4.790    0.0ms  21>20     65    00    5    ok
   4.790    0.0ms  21>20     65    00    5    ok
   4.841   51.3ms  21>20     65    00    5    ok
   4.841  102.1ms  21>20     64    00    7    ok
   4.841  102.1ms  20>21     64    00    6    ok
   4.893   51.4ms  21>20     65    00    5    ok
   4.893    0.0ms  21>20     65    00    5    ok
   4.893    0.0ms  21>20     65    00    5    ok
   4.943   50.8ms  21>20     65    00    5    ok
   4.944  102.2ms  21>20     64    00    7    ok
   4.944  102.2ms  20>21     64    00    6    ok
   4.944    0.0ms  21>20     65    00    5    ok
   4.996   52.3ms  21>20     65    00    5    ok
   4.996    0.0ms  21>20     65    00    5    ok
   5.046   50.6ms  21>20     65    00    5    ok
   5.046  102.9ms  21>20     64    00    7    ok
   5.046  102.9ms  20>21     64    00    6    ok
   5.046    0.1ms  21>20     65    00    5    ok
   5.100   53.3ms  21>20     65    00    5    ok
   5.100    0.0ms  21>20     65    00    5    ok
   5.150   50.3ms  21>20     65    00    5    ok
   5.150  103.7ms  21>20     64    00    7    ok
   5.150  103.7ms  20>21     64    00    6    ok
   5.150    0.1ms  21>20     65    00    5    ok
   5.203   53.2ms  21>20     65    00    5    ok
   5.203    0.0ms  21>20     65    00    5    ok
   5.255   51.1ms  21>20     65    00    5    ok
   5.255  104.5ms  21>20     64    00    7    ok
   5.255  104.5ms  20>21     64    00    6    ok
   5.255    0.1ms  21>20     65    00    5    ok
   5.305   50.1ms  21>20     65    00    5    ok
   5.305    0.0ms  21>20     65    00    5    ok
   5.305    0.0ms  21>20     65    00    5    ok
   5.357  102.7ms  21>20     64    00    7    ok
   5.357  102.7ms  20>21     64    00    6    ok
   5.357   52.6ms  21>20     65    00    5    ok
   5.408   50.9ms  21>20     65    00    5    ok
   5.408    0.1ms  21>20     65    00    5    ok
   5.408    0.0ms  21>20     65    00    5    ok
   5.460  103.1ms  21>20     64    00    7    ok
   5.460  103.1ms  20>21     64    00    6    ok
   5.461   52.1ms  21>20     65    00    5    ok
   5.512   51.5ms  21>20     65    00    5    ok
   5.512    0.0ms  21>20     65    00    5    ok
   5.512    0.0ms  21>20     65    00    5    ok
   5.564  103.9ms  21>20     64    00    7    ok
   5.564  103.9ms  20>21     64    00    6    ok
   5.564   52.3ms  21>20     65    00    5    ok
   5.564    0.0ms  21>20     65    00    5    ok
   5.617   52.5ms  21>20     65    00    5    ok
   5.617    0.1ms  21>20     65    00    5    ok
   5.668  103.3ms  21>20     64    00    7    ok
   5.668  103.3ms  20>21     64    00    6    ok
   5.668   50.7ms  21>20     65    00    5    ok
   5.668    0.0ms  21>20     65    00    5    ok
   5.720   52.7ms  21>20     65    00    5    ok
   5.720    0.0ms  21>20     65    00    5    ok
   5.772  104.3ms  21>20     64    00    7    ok
   5.772  104.3ms  20>21     64    00    6    ok
   5.772   51.5ms  21>20     65    00    5    ok
   5.772    0.0ms  21>20     65    00    5    ok
   5.825   53.0ms  21>20     65    00    5    ok
   5.825    0.0ms  21>20     65    00    5    ok
   5.825   53.1ms  21>20     64    00    7    ok
   5.878  105.6ms  20>21     64    00    6    ok
   5.878   52.7ms  21>20     65    00    5    ok
   5.878    0.0ms  21>20     65    00    5    ok
   5.928   50.7ms  21>20     65    00    5    ok
   5.928    0.0ms  21>20     65    00    5    ok
   5.928  103.4ms  21>20     64    00    7    ok
   5.981  103.3ms  20>21     64    00    6    ok
   5.981   52.5ms  21>20     65    00    5    ok
   5.981    0.0ms  21>20     65    00    5    ok
   6.031   50.4ms  21>20     65    00    5    ok
   6.031    0.0ms  21>20     65    00    5    ok
   6.031  102.9ms  21>20     64    00    7    ok
   6.031   50.4ms  20>21     64    00    6    ok
   6.085   53.8ms  21>20     65    00    5    ok
   6.085    0.0ms  21>20     65    00    5    ok
   6.085    0.0ms  21>20     65    00    5    ok
   6.136   50.4ms  21>20     65    00    5    ok
   6.136  104.3ms  21>20     64    00    7    ok
   6.136  104.3ms  20>21     64    00    6    ok
   6.186   50.2ms  21>20     65    00    5    ok
   6.186    0.0ms  21>20     65    00    5    ok
   6.186    0.0ms  21>20     65    00    5    ok
   6.237   50.8ms  21>20     65    00    5    ok
   6.237  101.0ms  21>20     64    00    7    ok
   6.237  101.0ms  20>21     64    00    6    ok
   6.287   50.3ms  21>20     65    00    5    ok
   6.287    0.1ms  21>20     65    00    5    ok
   6.287    0.0ms  21>20     65    00    5    ok
   6.338   51.5ms  21>20     65    00    5    ok
   6.338  101.9ms  21>20     64    00    7    ok
   6.339  101.9ms  20>21     64    00    6    ok
   6.389   50.9ms  21>20     65    00    5    ok
   6.389    0.0ms  21>20     65    00    5    ok
   6.389    0.0ms  21>20     65    00    5    ok
   6.441   51.7ms  21>20     65    00    5    ok
   6.441  102.7ms  21>20     64    00    7    ok
   6.441  102.7ms  20>21     64    00    6    ok
   6.492   51.2ms  21>20     65    00    5    ok
   6.492    0.0ms  21>20     65    00    5    ok
   6.492    0.0ms  21>20     65    00    5    ok
   6.543   50.7ms  21>20     65    00    5    ok
   6.543  101.9ms  21>20     64    00    7    ok
   6.543  101.9ms  20>21     64    00    6    ok
   6.595   52.0ms  21>20     65    00    5    ok
   6.595    0.0ms  21>20     65    00    5    ok
   6.595    0.0ms  21>20     65    00    5    ok
   6.646   51.0ms  21>20     65    00    5    ok
   6.646  103.0ms  21>20     64    00    7    ok
   6.646  103.0ms  20>21     64    00    6    ok
   6.646    0.1ms  21>20     65    00    5    ok
   6.698   52.0ms  21>20     65    00    5    ok
   6.698    0.0ms  21>20     65    00    5    ok
   6.749   50.6ms  21>20     65    00    5    ok
   6.749  102.7ms  21>20     64    00    7    ok
   6.749  102.6ms  20>21     64    00    6    ok
   6.749    0.0ms  21>20     65    00    5    ok
   6.802   53.2ms  21>20     65    00    5    ok
   6.802    0.0ms  21>20     65    00    5    ok
   6.854   51.6ms  21>20     65    00    5    ok
   6.854  104.9ms  21>20     64    00    7    ok
   6.854  104.9ms  20>21     64    00    6    ok
   6.854    0.1ms  21>20     65    00    5    ok
   6.905   51.7ms  21>20     65    00    5    ok
   6.905    0.0ms  21>20     65    00    5    ok
   6.958   52.3ms  21>20     65    00    5    ok
   6.958  104.2ms  21>20     64    00    7    ok
   6.958  104.2ms  20>21     64    00    6    ok
   6.958    0.0ms  21>20     65    00    5    ok
   7.008   50.4ms  21>20     65    00    5    ok
   7.008    0.0ms  21>20     65    00    5    ok
   7.008    0.0ms  21>20     65    00    5    ok
   7.059  101.5ms  21>20     64    00    7    ok
   7.059  101.5ms  20>21     64    00    6    ok
   7.059   51.1ms  21>20     65    00    5    ok
   7.110   50.8ms  21>20     65    00    5    ok
   7.110    0.0ms  21>20     65    00    5    ok
   7.110    0.0ms  21>20     65    00    5    ok
   7.162  103.2ms  21>20     64    00    7    ok
   7.163  103.2ms  20>21     64    00    6    ok
   7.163   52.4ms  21>20     65    00    5    ok
   7.214   51.1ms  21>20     65    00    5    ok
   7.214    0.0ms  21>20     65    00    5    ok
   7.214    0.0ms  21>20     65    00    5    ok
   7.267  104.5ms  21>20     64    00    7    ok
   7.267  104.5ms  20>21     64    00    6    ok
   7.267   53.3ms  21>20     65    00    5    ok
   7.267    0.0ms  21>20     65    00    5    ok
   7.319   52.1ms  21>20     65    00    5    ok
   7.319    0.0ms  21>20     65    00    5    ok
   7.370  102.8ms  21>20     64    00    7    ok
   7.370  102.8ms  20>21     64    00    6    ok
   7.370   50.7ms  21>20     65    00    5    ok
   7.370    0.0ms  21>20     65    00    5    ok
   7.423   53.1ms  21>20     65    00    5    ok
   7.423    0.0ms  21>20     65    00    5    ok
   7.475  104.7ms  21>20     64    00    7    ok
   7.475  104.7ms  20>21     64    00    6    ok
   7.475   51.5ms  21>20     65    00    5    ok
   7.475    0.0ms  21>20     65    00    5    ok
   7.528   53.0ms  21>20     65    00    5    ok
   7.528    0.0ms  21>20     65    00    5    ok
   7.528   53.2ms  21>20     64    00    7    ok
   7.580  105.7ms  20>21     64    00    6    ok
   7.580   52.6ms  21>20     65    00    5    ok
   7.580    0.0ms  21>20     65    00    5    ok
   7.631   50.7ms  21>20     65    00    5    ok
   7.631    0.1ms  21>20     65    00    5    ok
   7.631  103.4ms  21>20     64    00    7    ok
   7.684  104.2ms  20>21     64    00    6    ok
