    time     gap  src>dst   cmd   reg   len  ok
   0.053    0.0ms  21>20     65    00    5    ok
   0.053    0.0ms  21>20     65    00    5    ok
   0.106   52.4ms  21>20     65    00    5    ok
   0.106    0.0ms  21>20     64    00    7    ok
   0.106    0.0ms  20>21     64    00    6    ok
   0.106    0.0ms  21>20     65    00    5    ok
   0.156   50.4ms  21>20     65    00    5    ok
   0.156    0.0ms  21>20     65    00    5    ok
   0.156    0.0ms  21>20     65    00    5    ok
   0.209  103.5ms  21>20     64    00    7    ok
   0.209  103.5ms  20>21     64    00    6    ok
   0.209   53.0ms  21>20     65    00    5    ok
   0.261   51.3ms  21>20     65    00    5    ok
   0.261    0.0ms  21>20     65    00    5    ok
   0.261    0.0ms  21>20     65    00    5    ok
   0.313  103.4ms  21>20     64    00    7    ok
   0.313  103.4ms  20>21     64    00    6    ok
   0.313   52.1ms  21>20     65    00    5    ok
   0.363   50.4ms  21>20     65    00    5    ok
   0.363    0.0ms  21>20     65    00    5    ok
   0.363    0.0ms  21>20     65    00    5    ok
   0.415  102.1ms  21>20     64    00    7    ok
   0.415  102.1ms  20>21     64    00    6    ok
   0.415   51.7ms  21>20     65    00    5    ok
   0.415    0.0ms  21>20     65    00    5    ok
   0.468   52.6ms  21>20     65    00    5    ok
   0.468    0.0ms  21>20     65    00    5    ok
   0.518  103.5ms  21>20     64    00    7    ok
   0.518  103.5ms  20>21     64    00    6    ok
   0.518   50.8ms  21>20     65    00    5    ok
   0.518    0.0ms  21>20     65    00    5    ok
   0.571   52.2ms  21>20     65    00    5    ok
   0.571    0.0ms  21>20     65    00    5    ok
   0.622  103.8ms  21>20     64    00    7    ok
   0.622  103.7ms  20>21     64    00    6    ok
   0.622   51.5ms  21>20     65    00    5    ok
   0.622    0.0ms  21>20     65    00    5    ok
   0.675   53.2ms  21>20     65    00    5    ok
   0.675    0.0ms  21>20     65    00    5    ok
   0.675   53.3ms  21>20     64    00    7    ok
   0.728  105.8ms  20>21     64    00    6    ok
   0.728   52.5ms  21>20     65    00    5    ok
   0.728    0.0ms  21>20     65    00    5    ok
